Year,Total_violations,Homicide and other related violations,Invitation to sexual touching,Sexual exploitation,Luring a child via a computer,Voyeurism,Non-consensual distribution of intimate images,Extortion,Criminal harassment,Indecent or Harassing communications,Uttering threats,Other violent violations,Fraud,Identity theft,Identity fraud,Mischief,Other non-violent violations,Fail to comply with order,Indecent acts,Child pornography,Making or distribution of child pornography ,Corrupting morals,Breach of probation,Utter threats to property or animal,Offences against the person and reputation (Part VIII Criminal Code),Other Criminal Code,Other violations
2015,"17,887",0,109,15,850,67,97,709,"1,001","1,202","1,139",69,"8,429",191,695,167,8,156,10,"1,753",850,20,39,45,110,141,15
2016,"23,996",0,77,14,"1,108",58,295,797,"1,058","1,655","1,356",149,"11,383",260,828,156,27,225,19,"1,278","2,886",33,68,48,89,95,34
2017,"27,829",1,101,17,"1,132",80,516,893,"1,291","2,302","1,674",195,"13,426",280,"1,082",166,66,318,23,"1,041","2,868",28,74,51,82,106,16
2018,"33,893",1,104,21,"1,280",77,569,"1,863","1,396","2,708","2,224",251,"16,641",284,"1,369",152,181,473,20,621,"3,113",20,98,82,142,136,67
2019,"48,318",5,121,29,"1,461",89,726,"1,447","2,720","4,996","4,328",309,"22,746",388,"1,950",177,266,563,36,"1,133","4,242",30,123,108,119,171,35
2020,"65,141",3,143,26,"1,757",106,858,"2,571","3,184","6,187","5,128",287,"29,781",742,"4,782",279,327,748,30,"1,598","5,899",34,111,148,160,223,29
2021,"71,727",4,157,34,"1,846",137,870,"3,160","3,347","6,711","5,007",357,"34,080",864,"5,316",291,360,890,38,"1,903","5,531",25,117,168,225,255,34
2022,"80,246",7,168,39,"1,977",142,946,"5,266","3,701","5,997","5,336",323,"39,486",802,"4,039",290,296,"1,161",43,"1,755","7,587",38,192,143,154,314,44
2023,"98,252",2,166,36,"1,788",189,"1,211","7,150","3,551","6,058","5,680",403,"46,362",821,"4,674",280,283,"1,327",26,"2,298","14,862",20,262,184,0,576,43
2024,"92,567",6,156,24,"2,965",215,"1,147","6,042","2,929","6,299","4,934",465,"46,301",957,"4,283",315,297,"1,233",31,"2,192","10,786",6,222,240,0,483,39
